,Date,Rate,Open,High,Low,Volume,Change %
668,2019-04-11,1461.96,1462.71,1464.27,1455.16,69.94M,0.47
669,2019-04-10,1455.19,1448.45,1457.52,1447.53,68.18M,0.89
670,2019-04-08,1442.3,1436.2,1447.55,1433.22,125.93M,0.56
671,2019-04-07,1434.31,1431.85,1435.09,1428.63,65.54M,0.76
672,2019-04-04,1423.55,1433.21,1433.37,1423.55,109.48M,-0.78
673,2019-04-03,1434.72,1432.92,1439.51,1430.76,58.64M,0.3
674,2019-04-02,1430.4,1431.11,1432.56,1425.71,47.95M,-0.0
675,2019-04-01,1430.44,1423.99,1430.7,1423.99,51.93M,0.88
676,2019-03-31,1418.03,1414.34,1418.36,1414.2,30.85M,0.97
677,2019-03-28,1404.39,1402.72,1410.01,1402.69,112.95M,-0.77
678,2019-03-27,1415.34,1415.41,1419.09,1409.95,66.08M,0.19
679,2019-03-26,1412.66,1397.74,1413.47,1397.18,72.99M,1.42
680,2019-03-25,1392.89,1393.25,1396.76,1389.49,53.97M,-0.61
681,2019-03-24,1401.39,1403.46,1403.46,1397.76,32.20M,-1.25
682,2019-03-20,1419.08,1427.18,1427.18,1416.23,83.33M,-0.38
683,2019-03-19,1424.46,1423.89,1430.59,1420.46,65.19M,-0.04
684,2019-03-18,1425.04,1430.75,1430.75,1421.68,44.08M,-0.22
685,2019-03-17,1428.19,1423.5,1429.48,1422.52,15.21M,0.7
686,2019-03-14,1418.25,1419.38,1424.01,1413.68,86.48M,-0.37
687,2019-03-13,1423.57,1406.27,1423.57,1404.77,66.09M,1.15
688,2019-03-12,1407.34,1418.27,1422.31,1407.34,46.88M,-0.35
689,2019-03-11,1412.23,1408.27,1412.35,1402.32,40.27M,0.57
690,2019-03-10,1404.17,1409.95,1410.4,1403.56,20.02M,-0.29
691,2019-03-07,1408.2,1421.35,1422.32,1408.2,79.66M,-1.44
692,2019-03-06,1428.84,1433.88,1433.88,1428.44,36.68M,-0.23
693,2019-03-05,1432.15,1442.0,1442.48,1430.15,47.68M,-0.86
694,2019-03-04,1444.56,1441.19,1448.13,1441.13,52.75M,0.41
695,2019-03-03,1438.7,1435.88,1438.76,1435.48,22.68M,0.52
696,2019-02-28,1431.31,1422.59,1431.81,1417.76,51.48M,0.43
697,2019-02-27,1425.21,1435.58,1435.98,1423.07,41.23M,-1.03
698,2019-02-26,1440.08,1441.7,1443.03,1435.77,45.96M,-0.37
699,2019-02-25,1445.49,1437.89,1448.35,1437.85,47.44M,0.8
700,2019-02-24,1434.08,1430.74,1434.61,1429.89,21.16M,0.38
701,2019-02-21,1428.72,1439.83,1439.83,1426.72,99.34M,-0.53
702,2019-02-20,1436.34,1427.69,1436.86,1427.69,78.65M,0.67
703,2019-02-19,1426.77,1428.77,1430.59,1423.69,45.55M,-0.15
704,2019-02-18,1428.92,1428.97,1430.04,1427.08,39.63M,0.07
705,2019-02-17,1427.96,1426.32,1430.25,1426.32,36.27M,0.63
706,2019-02-14,1418.98,1424.12,1424.12,1414.28,50.16M,-0.13
707,2019-02-13,1420.81,1419.79,1432.14,1415.94,59.08M,0.54
708,2019-02-12,1413.19,1411.27,1414.65,1410.89,59.45M,0.49
709,2019-02-11,1406.26,1401.95,1409.18,1401.18,49.02M,0.37
710,2019-02-10,1401.13,1404.03,1405.75,1400.35,18.70M,-0.02
711,2019-02-07,1401.35,1412.95,1412.95,1398.48,179.14M,-0.96
712,2019-02-06,1414.91,1421.9,1422.38,1414.91,47.17M,-0.52
